;Unnamed: 0.1;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
177;178;178.0;"#RilisSehat

Kembangkan Vaksin di Negara OKI, 4 Peneliti Mesir dan Pakistan Magang di Indonesia @KemenkesRI… https://t.co/gCodf87sIH";kembangkan vaksin di negara oki   peneliti mesir dan pakistan magang di indonesia kemenkesri cogcodfsih;['kembangkan', 'vaksin', 'di', 'negara', 'oki', 'peneliti', 'mesir', 'dan', 'pakistan', 'magang', 'di', 'indonesia', 'kemenkesri', 'cogcodfsih'];['kembangkan', 'vaksin', 'di', 'negara', 'oki', 'peneliti', 'mesir', 'dan', 'pakistan', 'magang', 'di', 'indonesia', 'kemenkesri', 'cogcodfsih'];kembangkan vaksin di negara oki peneliti mesir dan pakistan magang di indonesia kemenkesri cogcodfsih;kembangkan vaksin di negara oki peneliti mesir dan pakistan magang di indonesia kemenkesri cogcodfsih;kembang vaksin negara oki teliti mesir pakistan magang indonesia kemenkesri cogcodfsih
178;179;179.0;"Hai #Healthies,

@KemenkesRI melalui @farmalkesRI akan mengadakan ""Opening Ceremony of COMSTECH - OIC Fellowship Pr… https://t.co/rC3XK9fndv";hai kemenkesri melalui farmalkesri akan mengadakan opening ceremony of comstech oic fellowship pr corc;['hai', 'kemenkesri', 'melalui', 'farmalkesri', 'akan', 'mengadakan', 'opening', 'ceremony', 'of', 'comstech', 'oic', 'fellowship', 'pr', 'corc'];['hai', 'kemenkesri', 'melalui', 'farmalkesri', 'akan', 'mengadakan', 'opening', 'ceremony', 'of', 'comstech', 'oic', 'fellowship', 'pr', 'corc'];hai kemenkesri melalui farmalkesri akan mengadakan opening ceremony of comstech oic fellowship pr corc;hai kemenkesri melalui farmalkesri akan mengadakan opening ceremony of comstech oic fellowship pr corc;hai kemenkesri lalu farmalkesri ada opening ceremony of comstech oic fellowship pr corc
179;180;180.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (14/9)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/ozG11fR9HF";update situasi terkini perkembangan di indonesia   coozgfrhf;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'coozgfrhf'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'coozgfrhf'];update situasi terkini perkembangan di indonesia coozgfrhf;update situasi terkini perkembangan di indonesia coozgfrhf;update situasi kini kembang indonesia coozgfrhf
180;181;181.0;"#Healthies, setiap tanggal 14 September diperingati sebagai Hari Kunjung Perpustakaan.

Peringatan ini untuk mening… https://t.co/4WfxvQWShv";setiap tanggal <date> diperingati sebagai hari kunjung perpustakaan peringatan ini untuk mening cowf;['setiap', 'tanggal', '<', 'date', '>', 'diperingati', 'sebagai', 'hari', 'kunjung', 'perpustakaan', 'peringatan', 'ini', 'untuk', 'mening', 'cowf'];['setiap', 'tanggal', '<', 'date', '>', 'diperingati', 'sebagai', 'hari', 'kunjung', 'perpustakaan', 'peringatan', 'ini', 'untuk', 'mening', 'cowf'];setiap tanggal < date > diperingati sebagai hari kunjung perpustakaan peringatan ini untuk mening cowf;setiap tanggal < date > diperingati sebagai hari kunjung perpustakaan peringatan ini untuk mening cowf;tanggal date ingat hari kunjung pustaka ingat untuk ning cowf
181;182;182.0;Menyambut Hari Kesehatan Gigi Nasional 2022, Yuk ikuti lomba foto dan video Tiktok seputar kesehatan gigi dan mulut… https://t.co/v85HbK3ZQ5;menyambut hari kesehatan gigi nasional   yuk ikuti lomba foto dan video tiktok seputar kesehatan gigi dan mulut covhbkzq;['menyambut', 'hari', 'kesehatan', 'gigi', 'nasional', 'yuk', 'ikuti', 'lomba', 'foto', 'dan', 'video', 'tiktok', 'seputar', 'kesehatan', 'gigi', 'dan', 'mulut', 'covhbkzq'];['menyambut', 'hari', 'kesehatan', 'gigi', 'nasional', 'yuk', 'ikuti', 'lomba', 'foto', 'dan', 'video', 'tiktok', 'seputar', 'kesehatan', 'gigi', 'dan', 'mulut', 'covhbkzq'];menyambut hari kesehatan gigi nasional yuk ikuti lomba foto dan video tiktok seputar kesehatan gigi dan mulut covhbkzq;menyambut hari kesehatan gigi nasional yuk ikuti lomba foto dan video tiktok seputar kesehatan gigi dan mulut covhbkzq;sambut hari sehat gigi nasional yuk ikut lomba foto video tiktok putar sehat gigi mulut covhbkzq
182;183;183.0;"RT @PLindungi: SUDAH BEROPERASI NORMAL

Saat ini aplikasi mobile dan web PeduliLindungi sudah dapat diakses kembali.

🙏🙏 https://t.co/n0YAz…";plindungi sudah beroperasi normal saat ini aplikasi mobile dan web pedulilindungi sudah dapat diakses kembali conyaz;['plindungi', 'sudah', 'beroperasi', 'normal', 'saat', 'ini', 'aplikasi', 'mobile', 'dan', 'web', 'pedulilindungi', 'sudah', 'dapat', 'diakses', 'kembali', 'conyaz'];['plindungi', 'sudah', 'beroperasi', 'normal', 'saat', 'ini', 'aplikasi', 'mobile', 'dan', 'web', 'pedulilindungi', 'sudah', 'dapat', 'diakses', 'kembali', 'conyaz'];plindungi sudah beroperasi normal saat ini aplikasi mobile dan web pedulilindungi sudah dapat diakses kembali conyaz;plindungi sudah beroperasi normal saat ini aplikasi mobile dan web pedulilindungi sudah dapat diakses kembali conyaz;plindungi operasi normal ini aplikasi mobile web pedulilindungi dapat akses conyaz
183;184;184.0;"Disamping itu, perlu diketahui juga bahwa tidak semua orang boleh berlari loh. 

Siapa saja yang masuk kategori tid… https://t.co/30z28g0aE5";disamping itu perlu diketahui juga bahwa tidak semua orang boleh berlari loh siapa saja yang masuk kategori tid cozgae;['disamping', 'itu', 'perlu', 'diketahui', 'juga', 'bahwa', 'tidak', 'semua', 'orang', 'boleh', 'berlari', 'loh', 'siapa', 'saja', 'yang', 'masuk', 'kategori', 'tid', 'cozgae'];['disamping', 'itu', 'perlu', 'diketahui', 'juga', 'bahwa', 'tidak', 'semua', 'orang', 'boleh', 'berlari', 'loh', 'siapa', 'saja', 'yang', 'masuk', 'kategori', 'tid', 'cozgae'];disamping itu perlu diketahui juga bahwa tidak semua orang boleh berlari loh siapa saja yang masuk kategori tid cozgae;disamping itu perlu diketahui juga bahwa tidak semua orang boleh berlari loh siapa saja yang masuk kategori tid cozgae;samping perlu tahu bahwa semua orang lari siapa yang masuk kategori tid cozgae
184;185;185.0;"#Healthies, lari merupakan olahraga yang popular di masyarkat &amp; sekarang ini geliat lari kembali marak… https://t.co/k2JHCHabBN";lari merupakan olahraga yang popular di masyarkat amp sekarang ini geliat lari kembali marak cokjhchabbn;['lari', 'merupakan', 'olahraga', 'yang', 'popular', 'di', 'masyarkat', 'amp', 'sekarang', 'ini', 'geliat', 'lari', 'kembali', 'marak', 'cokjhchabbn'];['lari', 'merupakan', 'olahraga', 'yang', 'popular', 'di', 'masyarkat', 'amp', 'sekarang', 'ini', 'geliat', 'lari', 'kembali', 'marak', 'cokjhchabbn'];lari merupakan olahraga yang popular di masyarkat amp sekarang ini geliat lari kembali marak cokjhchabbn;lari merupakan olahraga yang popular di masyarkat amp sekarang ini geliat lari kembali marak cokjhchabbn;lari rupa olahraga popular masyarkat amp sekarang geliat lari marak cokjhchabbn
185;186;186.0;"Pandemi membuat sistem surveilans kesehatan dunia semakin kuat

Sistem surveilans didorong saling terintegasi guna… https://t.co/eL6SSuLFlz";pandemi membuat sistem surveilans kesehatan dunia semakin kuat sistem surveilans didorong saling terintegasi guna coelssulflz;['pandemi', 'membuat', 'sistem', 'surveilans', 'kesehatan', 'dunia', 'semakin', 'kuat', 'sistem', 'surveilans', 'didorong', 'saling', 'terintegasi', 'guna', 'coelssulflz'];['pandemi', 'membuat', 'sistem', 'surveilans', 'kesehatan', 'dunia', 'semakin', 'kuat', 'sistem', 'surveilans', 'didorong', 'saling', 'terintegasi', 'guna', 'coelssulflz'];pandemi membuat sistem surveilans kesehatan dunia semakin kuat sistem surveilans didorong saling terintegasi guna coelssulflz;pandemi membuat sistem surveilans kesehatan dunia semakin kuat sistem surveilans didorong saling terintegasi guna coelssulflz;pandemi buat sistem surveilans sehat dunia makin kuat sistem surveilans dorong saling terintegasi coelssulflz
186;187;187.0;Ini bagian dari transformasi kesehatan pilar pertama, transformasi layanan primer yang fokus pada upaya promotif pr… https://t.co/XbTElbgVpo;ini bagian dari transformasi kesehatan pilar pertama transformasi layanan primer yang fokus pada upaya promotif pr co;['ini', 'bagian', 'dari', 'transformasi', 'kesehatan', 'pilar', 'pertama', 'transformasi', 'layanan', 'primer', 'yang', 'fokus', 'pada', 'upaya', 'promotif', 'pr', 'co'];['ini', 'bagian', 'dari', 'transformasi', 'kesehatan', 'pilar', 'pertama', 'transformasi', 'layanan', 'primer', 'yang', 'fokus', 'pada', 'upaya', 'promotif', 'pr', 'co'];ini bagian dari transformasi kesehatan pilar pertama transformasi layanan primer yang fokus pada upaya promotif pr co;ini bagian dari transformasi kesehatan pilar pertama transformasi layanan primer yang fokus pada upaya promotif pr co;bagi transformasi sehat pilar pertama transformasi layan primer fokus upaya promotif pr co
