;Unnamed: 0.1;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
0;0;0.0;"Apabila kamu setiap hari konsumsi : 

-Gula lebih dari 50 gram
-Garam lebih dari 2.000 mg
-Lemak lebih dari 67 gram… https://t.co/MvyOkwsA6g";apabila kamu setiap hari konsumsi gula lebih dari   gram garam lebih dari     mg lemak lebih dari   gram comvyokwsag;['apabila', 'kamu', 'setiap', 'hari', 'konsumsi', 'gula', 'lebih', 'dari', 'gram', 'garam', 'lebih', 'dari', 'mg', 'lemak', 'lebih', 'dari', 'gram', 'comvyokwsag'];['apabila', 'kamu', 'setiap', 'hari', 'konsumsi', 'gula', 'lebih', 'dari', 'gram', 'garam', 'lebih', 'dari', 'mg', 'lemak', 'lebih', 'dari', 'gram', 'comvyokwsag'];apabila kamu setiap hari konsumsi gula lebih dari gram garam lebih dari mg lemak lebih dari gram comvyokwsag;apabila kamu setiap hari konsumsi gula lebih dari gram garam lebih dari mg lemak lebih dari gram comvyokwsag;apabila kamu hari konsumsi gula lebih gram garam lebih mg lemak lebih gram comvyokwsag
1;1;1.0;"Update Cakupan Vaksinasi COVID-19 di Indonesia (2/10)
 
#ayovaksin 
#SayaPilihSehat https://t.co/nbLTjuYyNl";update cakupan vaksinasi covid   di indonesia   conbltjuyynl;['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'conbltjuyynl'];['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'conbltjuyynl'];update cakupan vaksinasi covid di indonesia conbltjuyynl;update cakupan vaksinasi covid di indonesia conbltjuyynl;update cakup vaksinasi covid indonesia conbltjuyynl
2;2;2.0;"Duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di Stadion Kanjuruhan, Malang 🥀

Teriring doa terb… https://t.co/r3fB5hr0vP";duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di stadion kanjuruhan malang teriring doa terb corfbhrvp;['duka', 'cita', 'mendalam', 'atas', 'kejadian', 'yang', 'menimpa', 'pecinta', 'sepak', 'bola', 'di', 'stadion', 'kanjuruhan', 'malang', 'teriring', 'doa', 'terb', 'corfbhrvp'];['duka', 'cita', 'mendalam', 'atas', 'kejadian', 'yang', 'menimpa', 'pecinta', 'sepak', 'bola', 'di', 'stadion', 'kanjuruhan', 'malang', 'teriring', 'doa', 'terb', 'corfbhrvp'];duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di stadion kanjuruhan malang teriring doa terb corfbhrvp;duka cita mendalam atas kejadian yang menimpa pecinta sepak bola di stadion kanjuruhan malang teriring doa terb corfbhrvp;duka cita dalam atas jadi timpa cinta sepak bola stadion kanjuruhan malang iring doa terb corfbhrvp
3;3;3.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (2/10)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/u4IFoi57DA";update situasi terkini perkembangan di indonesia   couifoida;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'couifoida'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'couifoida'];update situasi terkini perkembangan di indonesia couifoida;update situasi terkini perkembangan di indonesia couifoida;update situasi kini kembang indonesia couifoida
4;4;4.0;"Update Cakupan Vaksinasi COVID-19 di Indonesia (1/10)
 
#ayovaksin 
#SayaPilihSehat https://t.co/ZcBTWUav9F";update cakupan vaksinasi covid   di indonesia   cozcbtwuavf;['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'cozcbtwuavf'];['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'cozcbtwuavf'];update cakupan vaksinasi covid di indonesia cozcbtwuavf;update cakupan vaksinasi covid di indonesia cozcbtwuavf;update cakup vaksinasi covid indonesia cozcbtwuavf
5;5;5.0;"#RilisSehat

Wujud Nyata Transformasi Layanan Rujukan, RSUP Dr. M. Djamil Padang Diperluas @KemenkesRI… https://t.co/EGpuLnk6zL";wujud nyata transformasi layanan rujukan rsup dr djamil padang diperluas kemenkesri coegpulnkzl;['wujud', 'nyata', 'transformasi', 'layanan', 'rujukan', 'rsup', 'dr', 'djamil', 'padang', 'diperluas', 'kemenkesri', 'coegpulnkzl'];['wujud', 'nyata', 'transformasi', 'layanan', 'rujukan', 'rsup', 'dr', 'djamil', 'padang', 'diperluas', 'kemenkesri', 'coegpulnkzl'];wujud nyata transformasi layanan rujukan rsup dr djamil padang diperluas kemenkesri coegpulnkzl;wujud nyata transformasi layanan rujukan rsup dr djamil padang diperluas kemenkesri coegpulnkzl;wujud nyata transformasi layan rujuk rsup dr djamil padang luas kemenkesri coegpulnkzl
6;6;6.0;"Dalam satu hari, berapa banyak garam yang kamu konsumsi #Healthies?

Jika lebih dari 2000 mg natrium atau 1 sendok… https://t.co/GST1SApQwX";dalam satu hari berapa banyak garam yang kamu konsumsi jika lebih dari   mg natrium atau   sendok cogstsapqwx;['dalam', 'satu', 'hari', 'berapa', 'banyak', 'garam', 'yang', 'kamu', 'konsumsi', 'jika', 'lebih', 'dari', 'mg', 'natrium', 'atau', 'sendok', 'cogstsapqwx'];['dalam', 'satu', 'hari', 'berapa', 'banyak', 'garam', 'yang', 'kamu', 'konsumsi', 'jika', 'lebih', 'dari', 'mg', 'natrium', 'atau', 'sendok', 'cogstsapqwx'];dalam satu hari berapa banyak garam yang kamu konsumsi jika lebih dari mg natrium atau sendok cogstsapqwx;dalam satu hari berapa banyak garam yang kamu konsumsi jika lebih dari mg natrium atau sendok cogstsapqwx;satu hari berapa banyak garam kamu konsumsi lebih mg natrium sendok cogstsapqwx
7;7;7.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (1/10)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/LFJ2Z1Hi8n";update situasi terkini perkembangan di indonesia   colfjzhin;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'colfjzhin'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'colfjzhin'];update situasi terkini perkembangan di indonesia colfjzhin;update situasi terkini perkembangan di indonesia colfjzhin;update situasi kini kembang indonesia colfjzhin
8;8;8.0;"Selamat Hari Kesaktian Pancasila 

Pancasila memiliki nilai-nilai persatuan dan kemanusiaan yang menjadi semangat k… https://t.co/NIsiKTaNxQ";selamat hari kesaktian pancasila pancasila memiliki nilai nilai persatuan dan kemanusiaan yang menjadi semangat conisiktan;['selamat', 'hari', 'kesaktian', 'pancasila', 'pancasila', 'memiliki', 'nilai', 'nilai', 'persatuan', 'dan', 'kemanusiaan', 'yang', 'menjadi', 'semangat', 'conisiktan'];['selamat', 'hari', 'kesaktian', 'pancasila', 'pancasila', 'memiliki', 'nilai', 'nilai', 'persatuan', 'dan', 'kemanusiaan', 'yang', 'menjadi', 'semangat', 'conisiktan'];selamat hari kesaktian pancasila pancasila memiliki nilai nilai persatuan dan kemanusiaan yang menjadi semangat conisiktan;selamat hari kesaktian pancasila pancasila memiliki nilai nilai persatuan dan kemanusiaan yang menjadi semangat conisiktan;selamat hari sakti pancasila pancasila milik nilai nilai satu manusia jadi semangat conisiktan
9;9;9.0;"#RilisSehat

Kini Check In PeduliLindungi Bisa Lewat Website @KemenkesRI 

https://t.co/krfmq3jAtx https://t.co/dCp0oxVGEO";kini check in pedulilindungi bisa lewat website kemenkesri cokrfmqjatx codcpo;['kini', 'check', 'in', 'pedulilindungi', 'bisa', 'lewat', 'website', 'kemenkesri', 'cokrfmqjatx', 'codcpo'];['kini', 'check', 'in', 'pedulilindungi', 'bisa', 'lewat', 'website', 'kemenkesri', 'cokrfmqjatx', 'codcpo'];kini check in pedulilindungi bisa lewat website kemenkesri cokrfmqjatx codcpo;kini check in pedulilindungi bisa lewat website kemenkesri cokrfmqjatx codcpo;kini check in pedulilindungi lewat website kemenkesri cokrfmqjatx codcpo
10;10;10.0;Melalui presidensi #G20, Indonesia mendorong agar semangat filantropi perlu dijaga dan dirawat untuk menghadapi pan… https://t.co/u1nkVz6hag;melalui presidensi indonesia mendorong agar semangat filantropi perlu dijaga dan dirawat untuk menghadapi pan counkvzhag;['melalui', 'presidensi', 'indonesia', 'mendorong', 'agar', 'semangat', 'filantropi', 'perlu', 'dijaga', 'dan', 'dirawat', 'untuk', 'menghadapi', 'pan', 'counkvzhag'];['melalui', 'presidensi', 'indonesia', 'mendorong', 'agar', 'semangat', 'filantropi', 'perlu', 'dijaga', 'dan', 'dirawat', 'untuk', 'menghadapi', 'pan', 'counkvzhag'];melalui presidensi indonesia mendorong agar semangat filantropi perlu dijaga dan dirawat untuk menghadapi pan counkvzhag;melalui presidensi indonesia mendorong agar semangat filantropi perlu dijaga dan dirawat untuk menghadapi pan counkvzhag;lalu presidensi indonesia dorong semangat filantropi perlu jaga rawat hadap pan counkvzhag
11;11;11.0;Tindakan sukarela ini terbukti mampu meningkatkan ketahanan masyarakat dalam menghadapi krisis baik ekonomi maupun kesehatan.;tindakan sukarela ini terbukti mampu meningkatkan ketahanan masyarakat dalam menghadapi krisis baik ekonomi maupun kesehatan;['tindakan', 'sukarela', 'ini', 'terbukti', 'mampu', 'meningkatkan', 'ketahanan', 'masyarakat', 'dalam', 'menghadapi', 'krisis', 'baik', 'ekonomi', 'maupun', 'kesehatan'];['tindakan', 'sukarela', 'ini', 'terbukti', 'mampu', 'meningkatkan', 'ketahanan', 'masyarakat', 'dalam', 'menghadapi', 'krisis', 'baik', 'ekonomi', 'maupun', 'kesehatan'];tindakan sukarela ini terbukti mampu meningkatkan ketahanan masyarakat dalam menghadapi krisis baik ekonomi maupun kesehatan;tindakan sukarela ini terbukti mampu meningkatkan ketahanan masyarakat dalam menghadapi krisis baik ekonomi maupun kesehatan;tindak sukarela bukti mampu tingkat tahan masyarakat hadap krisis baik ekonomi maupun sehat
12;12;12.0;"Filantropi membantu dunia menghadapi pandemi

Terbukti saat pandemi COVID-19, banyak aksi-aksi filantropi yang lahi… https://t.co/4n6xDRivhR";filantropi membantu dunia menghadapi pandemi terbukti saat pandemi covid   banyak aksi aksi filantropi yang lahi con;['filantropi', 'membantu', 'dunia', 'menghadapi', 'pandemi', 'terbukti', 'saat', 'pandemi', 'covid', 'banyak', 'aksi', 'aksi', 'filantropi', 'yang', 'lahi', 'con'];['filantropi', 'membantu', 'dunia', 'menghadapi', 'pandemi', 'terbukti', 'saat', 'pandemi', 'covid', 'banyak', 'aksi', 'aksi', 'filantropi', 'yang', 'lahi', 'con'];filantropi membantu dunia menghadapi pandemi terbukti saat pandemi covid banyak aksi aksi filantropi yang lahi con;filantropi membantu dunia menghadapi pandemi terbukti saat pandemi covid banyak aksi aksi filantropi yang lahi con;filantropi bantu dunia hadap pandemi bukti pandemi covid banyak aksi aksi filantropi lah con
13;13;13.0;"#RilisSehat

Indonesia Bersiap Menuju Endemi @KemenkesRI 

https://t.co/SmlDnZ3VRz https://t.co/v3EHxczJyn";indonesia bersiap menuju endemi kemenkesri cosmldnzvrz coveh;['indonesia', 'bersiap', 'menuju', 'endemi', 'kemenkesri', 'cosmldnzvrz', 'coveh'];['indonesia', 'bersiap', 'menuju', 'endemi', 'kemenkesri', 'cosmldnzvrz', 'coveh'];indonesia bersiap menuju endemi kemenkesri cosmldnzvrz coveh;indonesia bersiap menuju endemi kemenkesri cosmldnzvrz coveh;indonesia siap tuju endemi kemenkesri cosmldnzvrz coveh
14;14;14.0;"#RilisSehat

Kasus Probable Hepatitis Akut Bertambah 3 Orang, Total Jadi 99 Kasus @KemenkesRI… https://t.co/egRH77BbZ8";kasus probable hepatitis akut bertambah   orang total jadi   kasus kemenkesri coegrhbbz;['kasus', 'probable', 'hepatitis', 'akut', 'bertambah', 'orang', 'total', 'jadi', 'kasus', 'kemenkesri', 'coegrhbbz'];['kasus', 'probable', 'hepatitis', 'akut', 'bertambah', 'orang', 'total', 'jadi', 'kasus', 'kemenkesri', 'coegrhbbz'];kasus probable hepatitis akut bertambah orang total jadi kasus kemenkesri coegrhbbz;kasus probable hepatitis akut bertambah orang total jadi kasus kemenkesri coegrhbbz;kasus probable hepatitis akut tambah orang total jadi kasus kemenkesri coegrhbbz
15;15;15.0;"#RilisSehat

Kasus Monkeypox Mulai Melandai @KemenkesRI 

https://t.co/qXERq0Qg7T https://t.co/EeG0jwxaqK";kasus monkeypox mulai melandai kemenkesri co coeegjw;['kasus', 'monkeypox', 'mulai', 'melandai', 'kemenkesri', 'co', 'coeegjw'];['kasus', 'monkeypox', 'mulai', 'melandai', 'kemenkesri', 'co', 'coeegjw'];kasus monkeypox mulai melandai kemenkesri co coeegjw;kasus monkeypox mulai melandai kemenkesri co coeegjw;kasus monkeypox mulai landai kemenkesri co coeegjw
16;16;16.0;"#RilisSehat

Stok Vaksin COVID-19 Tersedia 5 Juta Dosis @KemenkesRI 

https://t.co/g4WWj5X3yk https://t.co/VOVA1LVR75";stok vaksin covid   tersedia   juta dosis kemenkesri cogwwj covovalvr;['stok', 'vaksin', 'covid', 'tersedia', 'juta', 'dosis', 'kemenkesri', 'cogwwj', 'covovalvr'];['stok', 'vaksin', 'covid', 'tersedia', 'juta', 'dosis', 'kemenkesri', 'cogwwj', 'covovalvr'];stok vaksin covid tersedia juta dosis kemenkesri cogwwj covovalvr;stok vaksin covid tersedia juta dosis kemenkesri cogwwj covovalvr;stok vaksin covid sedia juta dosis kemenkesri cogwwj covovalvr
17;17;17.0;"#RilisSehat

Pentingnya Kekuatan Filantropi untuk Mengatasi Pandemi @KemenkesRI 

https://t.co/JHVCrI6Ye9 https://t.co/gLS1a77ON4";pentingnya kekuatan filantropi untuk mengatasi pandemi kemenkesri cojhvcriye coglsaon;['pentingnya', 'kekuatan', 'filantropi', 'untuk', 'mengatasi', 'pandemi', 'kemenkesri', 'cojhvcriye', 'coglsaon'];['pentingnya', 'kekuatan', 'filantropi', 'untuk', 'mengatasi', 'pandemi', 'kemenkesri', 'cojhvcriye', 'coglsaon'];pentingnya kekuatan filantropi untuk mengatasi pandemi kemenkesri cojhvcriye coglsaon;pentingnya kekuatan filantropi untuk mengatasi pandemi kemenkesri cojhvcriye coglsaon;penting kuat filantropi atas pandemi kemenkesri cojhvcriye coglsaon
18;18;18.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (30/9)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/IC7ayJ7v86";update situasi terkini perkembangan di indonesia   coicayjv;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'coicayjv'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'coicayjv'];update situasi terkini perkembangan di indonesia coicayjv;update situasi terkini perkembangan di indonesia coicayjv;update situasi kini kembang indonesia coicayjv
19;19;19.0;"Gampangkan?

Mulai sekarang jangan simpan obat sembarangan lagi ya #Healthies. 

Karena bukan hanya dia yang butuh… https://t.co/ndpVJdf1ST";gampangkan mulai sekarang jangan simpan obat sembarangan lagi ya karena bukan hanya dia yang butuh condpvjdfst;['gampangkan', 'mulai', 'sekarang', 'jangan', 'simpan', 'obat', 'sembarangan', 'lagi', 'ya', 'karena', 'bukan', 'hanya', 'dia', 'yang', 'butuh', 'condpvjdfst'];['gampangkan', 'mulai', 'sekarang', 'jangan', 'simpan', 'obat', 'sembarangan', 'lagi', 'ya', 'karena', 'bukan', 'hanya', 'dia', 'yang', 'butuh', 'condpvjdfst'];gampangkan mulai sekarang jangan simpan obat sembarangan lagi ya karena bukan hanya dia yang butuh condpvjdfst;gampangkan mulai sekarang jangan simpan obat sembarangan lagi ya karena bukan hanya dia yang butuh condpvjdfst;gampang mulai sekarang jangan simpan obat sembarang ya bukan dia butuh condpvjdfst
20;20;20.0;"Untuk lebih lengkapnya, kamu bisa cek di kemasannya, disana ada informasi lengkap cara menyimpan obat yang kamu gunakan.

#Gemacermat";untuk lebih lengkapnya kamu bisa cek di kemasannya disana ada informasi lengkap cara menyimpan obat yang kamu gunakan;['untuk', 'lebih', 'lengkapnya', 'kamu', 'bisa', 'cek', 'di', 'kemasannya', 'disana', 'ada', 'informasi', 'lengkap', 'cara', 'menyimpan', 'obat', 'yang', 'kamu', 'gunakan'];['untuk', 'lebih', 'lengkapnya', 'kamu', 'bisa', 'cek', 'di', 'kemasannya', 'disana', 'ada', 'informasi', 'lengkap', 'cara', 'menyimpan', 'obat', 'yang', 'kamu', 'gunakan'];untuk lebih lengkapnya kamu bisa cek di kemasannya disana ada informasi lengkap cara menyimpan obat yang kamu gunakan;untuk lebih lengkapnya kamu bisa cek di kemasannya disana ada informasi lengkap cara menyimpan obat yang kamu gunakan;lebih lengkap kamu cek kemas sana informasi lengkap cara simpan obat kamu guna
21;21;21.0;Obat sirup bisa kamu simpan disuhu ruangan, jangan di lemari pendingin. Alih-alih biar awet, cara ini justru bisa m… https://t.co/eFo2rmkw3Y;obat sirup bisa kamu simpan disuhu ruangan jangan di lemari pendingin alih alih biar awet cara ini justru bisa coeformkwy;['obat', 'sirup', 'bisa', 'kamu', 'simpan', 'disuhu', 'ruangan', 'jangan', 'di', 'lemari', 'pendingin', 'alih', 'alih', 'biar', 'awet', 'cara', 'ini', 'justru', 'bisa', 'coeformkwy'];['obat', 'sirup', 'bisa', 'kamu', 'simpan', 'disuhu', 'ruangan', 'jangan', 'di', 'lemari', 'pendingin', 'alih', 'alih', 'biar', 'awet', 'cara', 'ini', 'justru', 'bisa', 'coeformkwy'];obat sirup bisa kamu simpan disuhu ruangan jangan di lemari pendingin alih alih biar awet cara ini justru bisa coeformkwy;obat sirup bisa kamu simpan disuhu ruangan jangan di lemari pendingin alih alih biar awet cara ini justru bisa coeformkwy;obat sirup kamu simpan suhu ruang jangan lemari dingin alih alih biar awet cara justru coeformkwy
22;22;22.0;"Meski sama-sama obat, namun cara menyimpannya berbeda, harus disesuaikan dengan jenisnya

Meski terlihat sepele, ke… https://t.co/PhEuAHOuV5";meski sama sama obat namun cara menyimpannya berbeda harus disesuaikan dengan jenisnya meski terlihat sepele ke copheuahouv;['meski', 'sama', 'sama', 'obat', 'namun', 'cara', 'menyimpannya', 'berbeda', 'harus', 'disesuaikan', 'dengan', 'jenisnya', 'meski', 'terlihat', 'sepele', 'ke', 'copheuahouv'];['meski', 'sama', 'sama', 'obat', 'namun', 'cara', 'menyimpannya', 'berbeda', 'harus', 'disesuaikan', 'dengan', 'jenisnya', 'meski', 'terlihat', 'sepele', 'ke', 'copheuahouv'];meski sama sama obat namun cara menyimpannya berbeda harus disesuaikan dengan jenisnya meski terlihat sepele ke copheuahouv;meski sama sama obat namun cara menyimpannya berbeda harus disesuaikan dengan jenisnya meski terlihat sepele ke copheuahouv;meski sama sama obat cara simpan beda sesuai jenis meski lihat sepele copheuahouv
23;23;23.0;"Hai #Healthies!

Masih punya obat sisa dirumah? Bingung cara menyimpan obat yang benar?

Nah, kali ini #Minkes mau… https://t.co/m462f0os1P";hai masih punya obat sisa dirumah bingung cara menyimpan obat yang benar nah kali ini mau comfosp;['hai', 'masih', 'punya', 'obat', 'sisa', 'dirumah', 'bingung', 'cara', 'menyimpan', 'obat', 'yang', 'benar', 'nah', 'kali', 'ini', 'mau', 'comfosp'];['hai', 'masih', 'punya', 'obat', 'sisa', 'dirumah', 'bingung', 'cara', 'menyimpan', 'obat', 'yang', 'benar', 'nah', 'kali', 'ini', 'mau', 'comfosp'];hai masih punya obat sisa dirumah bingung cara menyimpan obat yang benar nah kali ini mau comfosp;hai masih punya obat sisa dirumah bingung cara menyimpan obat yang benar nah kali ini mau comfosp;hai punya obat sisa rumah bingung cara simpan obat benar nah kali mau comfosp
24;24;24.0;"Pernah ngak sih kalian tiba tiba ngerasa nyeri dada? 

Terus pas browsing hasilnya terindikasi sakit Jantung 😱 

Pa… https://t.co/90T6N2mX55";pernah ngak sih kalian tiba tiba ngerasa nyeri dada terus pas browsing hasilnya terindikasi sakit jantung pa cotnm;['pernah', 'ngak', 'sih', 'kalian', 'tiba', 'tiba', 'ngerasa', 'nyeri', 'dada', 'terus', 'pas', 'browsing', 'hasilnya', 'terindikasi', 'sakit', 'jantung', 'pa', 'cotnm'];['pernah', 'ngak', 'sih', 'kalian', 'tiba', 'tiba', 'ngerasa', 'nyeri', 'dada', 'terus', 'pas', 'browsing', 'hasilnya', 'terindikasi', 'sakit', 'jantung', 'pa', 'cotnm'];pernah ngak sih kalian tiba tiba ngerasa nyeri dada terus pas browsing hasilnya terindikasi sakit jantung pa cotnm;pernah ngak sih kalian tiba tiba ngerasa nyeri dada terus pas browsing hasilnya terindikasi sakit jantung pa cotnm;pernah ngak kalian tiba tiba ngerasa nyeri dada terus pas browsing hasil indikasi sakit jantung pa cotnm
25;25;25.0;"Update Cakupan Vaksinasi COVID-19 di Indonesia (29/9)
 
#ayovaksin 
#SayaPilihSehat https://t.co/mT5IAR9gdN";update cakupan vaksinasi covid   di indonesia   comtiargdn;['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'comtiargdn'];['update', 'cakupan', 'vaksinasi', 'covid', 'di', 'indonesia', 'comtiargdn'];update cakupan vaksinasi covid di indonesia comtiargdn;update cakupan vaksinasi covid di indonesia comtiargdn;update cakup vaksinasi covid indonesia comtiargdn
26;26;26.0;"#Healthies, sekarang tenaga kesehatan bisa melakukan pengkinian data secara mandiri lho

Carnya mudah, cukup isi da… https://t.co/LvyTQ4xObj";sekarang tenaga kesehatan bisa melakukan pengkinian data secara mandiri lho carnya mudah cukup isi da colvytq;['sekarang', 'tenaga', 'kesehatan', 'bisa', 'melakukan', 'pengkinian', 'data', 'secara', 'mandiri', 'lho', 'carnya', 'mudah', 'cukup', 'isi', 'da', 'colvytq'];['sekarang', 'tenaga', 'kesehatan', 'bisa', 'melakukan', 'pengkinian', 'data', 'secara', 'mandiri', 'lho', 'carnya', 'mudah', 'cukup', 'isi', 'da', 'colvytq'];sekarang tenaga kesehatan bisa melakukan pengkinian data secara mandiri lho carnya mudah cukup isi da colvytq;sekarang tenaga kesehatan bisa melakukan pengkinian data secara mandiri lho carnya mudah cukup isi da colvytq;sekarang tenaga sehat laku kini data mandiri lho carnya mudah cukup isi da colvytq
27;27;27.0;"Selamat Hari Jantung Sedunia 🫀

Kebiasaan baik yang kita lakukan setiap hari bisa membuat tubuh sehat terhindar dar… https://t.co/2ZHqk4qbAt";selamat hari jantung sedunia kebiasaan baik yang kita lakukan setiap hari bisa membuat tubuh sehat terhindar dar cozhqkqbat;['selamat', 'hari', 'jantung', 'sedunia', 'kebiasaan', 'baik', 'yang', 'kita', 'lakukan', 'setiap', 'hari', 'bisa', 'membuat', 'tubuh', 'sehat', 'terhindar', 'dar', 'cozhqkqbat'];['selamat', 'hari', 'jantung', 'sedunia', 'kebiasaan', 'baik', 'yang', 'kita', 'lakukan', 'setiap', 'hari', 'bisa', 'membuat', 'tubuh', 'sehat', 'terhindar', 'dar', 'cozhqkqbat'];selamat hari jantung sedunia kebiasaan baik yang kita lakukan setiap hari bisa membuat tubuh sehat terhindar dar cozhqkqbat;selamat hari jantung sedunia kebiasaan baik yang kita lakukan setiap hari bisa membuat tubuh sehat terhindar dar cozhqkqbat;selamat hari jantung dunia biasa baik kita laku hari buat tubuh sehat hindar dar cozhqkqbat
28;28;28.0;"Update Situasi Terkini Perkembangan #COVID19 di Indonesia (29/9)
 
#LawanCovid19 #jagajarak #dirumahaja… https://t.co/JuOIKnDRah";update situasi terkini perkembangan di indonesia   cojuoikndrah;['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'cojuoikndrah'];['update', 'situasi', 'terkini', 'perkembangan', 'di', 'indonesia', 'cojuoikndrah'];update situasi terkini perkembangan di indonesia cojuoikndrah;update situasi terkini perkembangan di indonesia cojuoikndrah;update situasi kini kembang indonesia cojuoikndrah
29;29;29.0;"Ingat Ya, kunci agar terhindar dari penyakit jantung itu PATUH. 

Apabila muncul gejala yang mengarah ke penyakit J… https://t.co/MFI6VdNome";ingat ya kunci agar terhindar dari penyakit jantung itu patuh apabila muncul gejala yang mengarah ke penyakit comfivdnome;['ingat', 'ya', 'kunci', 'agar', 'terhindar', 'dari', 'penyakit', 'jantung', 'itu', 'patuh', 'apabila', 'muncul', 'gejala', 'yang', 'mengarah', 'ke', 'penyakit', 'comfivdnome'];['ingat', 'ya', 'kunci', 'agar', 'terhindar', 'dari', 'penyakit', 'jantung', 'itu', 'patuh', 'apabila', 'muncul', 'gejala', 'yang', 'mengarah', 'ke', 'penyakit', 'comfivdnome'];ingat ya kunci agar terhindar dari penyakit jantung itu patuh apabila muncul gejala yang mengarah ke penyakit comfivdnome;ingat ya kunci agar terhindar dari penyakit jantung itu patuh apabila muncul gejala yang mengarah ke penyakit comfivdnome;ingat kunci hindar sakit jantung patuh apabila muncul gejala arah sakit comfivdnome
30;30;30.0;Imbangi budaya hidup sehat dengan rutin periksa ke dokter setidaknya 6 bulan sekali. Pemeriksaan ini penting untuk… https://t.co/wxVg4ko8WK;imbangi budaya hidup sehat dengan rutin periksa ke dokter setidaknya   bulan sekali pemeriksaan ini penting untuk co;['imbangi', 'budaya', 'hidup', 'sehat', 'dengan', 'rutin', 'periksa', 'ke', 'dokter', 'setidaknya', 'bulan', 'sekali', 'pemeriksaan', 'ini', 'penting', 'untuk', 'co'];['imbangi', 'budaya', 'hidup', 'sehat', 'dengan', 'rutin', 'periksa', 'ke', 'dokter', 'setidaknya', 'bulan', 'sekali', 'pemeriksaan', 'ini', 'penting', 'untuk', 'co'];imbangi budaya hidup sehat dengan rutin periksa ke dokter setidaknya bulan sekali pemeriksaan ini penting untuk co;imbangi budaya hidup sehat dengan rutin periksa ke dokter setidaknya bulan sekali pemeriksaan ini penting untuk co;imbang budaya hidup sehat rutin periksa dokter bulan sekali periksa penting co
31;31;31.0;"Yang setiap harinya mengonsumsi gula, garam dan lemak dalam jumlah banyak sebaiknya dikurangi, makan sayur &amp; buahny… https://t.co/zHipRewJZT";yang setiap harinya mengonsumsi gula garam dan lemak dalam jumlah banyak sebaiknya dikurangi makan sayur amp buahny cozhiprewjzt;['yang', 'setiap', 'harinya', 'mengonsumsi', 'gula', 'garam', 'dan', 'lemak', 'dalam', 'jumlah', 'banyak', 'sebaiknya', 'dikurangi', 'makan', 'sayur', 'amp', 'buahny', 'cozhiprewjzt'];['yang', 'setiap', 'harinya', 'mengonsumsi', 'gula', 'garam', 'dan', 'lemak', 'dalam', 'jumlah', 'banyak', 'sebaiknya', 'dikurangi', 'makan', 'sayur', 'amp', 'buahny', 'cozhiprewjzt'];yang setiap harinya mengonsumsi gula garam dan lemak dalam jumlah banyak sebaiknya dikurangi makan sayur amp buahny cozhiprewjzt;yang setiap harinya mengonsumsi gula garam dan lemak dalam jumlah banyak sebaiknya dikurangi makan sayur amp buahny cozhiprewjzt;tiap hari konsumsi gula garam lemak jumlah banyak baik rang makan sayur amp buahny cozhiprewjzt
